,T,spd,pwr,g_1,g_2,g_3
338,696,1.6,7.0,3.1396,9900000000.0,9900000000.0
339,698,1.6,8.0,3.1221,9900000000.0,9900000000.0
340,700,1.6,8.7,3.1221,9900000000.0,9900000000.0
341,702,1.6,8.9,3.1047,9900000000.0,9900000000.0
342,705,1.6,6.1,3.1047,9900000000.0,9900000000.0
343,707,1.6,7.3,3.1047,9900000000.0,9900000000.0
344,709,1.6,6.1,3.0858,9900000000.0,9900000000.0
345,711,1.6,6.1,3.0858,9900000000.0,9900000000.0
346,713,1.6,5.4,3.0858,9900000000.0,9900000000.0
347,715,1.6,5.4,3.0858,9900000000.0,9900000000.0
348,717,1.6,6.1,3.0858,9900000000.0,9900000000.0
349,719,1.6,7.5,3.0662,9900000000.0,9900000000.0
350,721,1.6,8.2,3.0662,9900000000.0,9900000000.0
351,723,1.6,8.0,3.0662,9900000000.0,9900000000.0
352,725,1.6,5.4,3.0662,9900000000.0,9900000000.0
353,727,1.6,6.1,3.0662,9900000000.0,9900000000.0
354,729,1.6,6.1,3.0488,9900000000.0,9900000000.0
355,731,1.6,6.5,3.0488,9900000000.0,9900000000.0
356,733,1.6,8.4,3.0488,9900000000.0,9900000000.0
357,735,1.6,6.1,3.0488,9900000000.0,9900000000.0
358,737,1.6,6.1,3.0538,9900000000.0,9900000000.0
359,739,1.6,7.3,3.0466,9900000000.0,9900000000.0
360,742,1.6,6.1,3.0517,9900000000.0,9900000000.0
361,744,1.6,6.1,3.0517,9900000000.0,9900000000.0
362,746,1.6,8.0,3.0517,9900000000.0,9900000000.0
363,748,1.6,7.0,3.0466,9900000000.0,9900000000.0
364,750,1.6,6.1,3.032,9900000000.0,9900000000.0
365,752,1.6,7.5,3.032,9900000000.0,9900000000.0
366,754,1.6,6.1,3.032,9900000000.0,9900000000.0
367,756,1.6,7.5,3.027,9900000000.0,9900000000.0
368,758,1.6,7.0,3.032,9900000000.0,9900000000.0
369,760,1.6,7.5,3.032,9900000000.0,9900000000.0
370,762,1.6,6.5,3.0102,9900000000.0,9900000000.0
371,764,1.6,6.8,3.0102,9900000000.0,9900000000.0
372,766,1.6,6.3,3.0102,9900000000.0,9900000000.0
373,768,1.6,8.2,3.0102,9900000000.0,9900000000.0
374,770,1.6,6.1,2.995,9900000000.0,9900000000.0
375,772,1.6,7.0,2.995,9900000000.0,9900000000.0
376,774,1.6,7.0,2.995,9900000000.0,9900000000.0
377,777,1.6,7.3,2.995,9900000000.0,9900000000.0
378,778,1.6,7.0,2.995,9900000000.0,9900000000.0
379,781,1.6,7.3,2.995,9900000000.0,9900000000.0
380,783,1.6,6.1,2.9761,9900000000.0,9900000000.0
381,785,1.6,7.0,2.9761,9900000000.0,9900000000.0
382,787,1.6,7.0,2.9761,9900000000.0,9900000000.0
383,789,1.6,8.0,2.9761,9900000000.0,9900000000.0
384,791,1.6,7.0,2.9587,9900000000.0,9900000000.0
385,793,1.6,6.1,2.9587,9900000000.0,9900000000.0
386,795,1.6,6.8,2.9587,9900000000.0,9900000000.0
387,797,1.6,7.5,2.9587,9900000000.0,9900000000.0
388,799,1.6,6.1,2.9587,9900000000.0,9900000000.0
389,801,1.6,6.1,2.9587,9900000000.0,9900000000.0
390,803,1.6,5.8,2.9587,9900000000.0,9900000000.0
391,805,1.6,7.7,2.9587,9900000000.0,9900000000.0
392,807,1.6,8.0,2.9587,9900000000.0,9900000000.0
393,809,1.6,6.5,2.9587,9900000000.0,9900000000.0
394,812,1.6,6.1,2.9419,9900000000.0,9900000000.0
395,814,1.6,6.1,2.9419,9900000000.0,9900000000.0
396,816,1.6,7.5,2.9419,9900000000.0,9900000000.0
397,818,1.6,6.1,2.9419,9900000000.0,9900000000.0
398,820,1.6,5.8,2.9245,9900000000.0,9900000000.0
399,822,1.6,7.0,2.9245,9900000000.0,9900000000.0
400,824,1.6,8.7,2.9245,9900000000.0,9900000000.0
401,826,1.6,7.5,2.9245,9900000000.0,9900000000.0
402,828,1.6,6.1,2.9027,9900000000.0,9900000000.0
403,830,1.6,6.1,2.9027,9900000000.0,9900000000.0
404,832,1.6,8.4,2.9027,9900000000.0,9900000000.0
405,834,1.6,8.7,2.9027,9900000000.0,9900000000.0
406,836,1.6,7.3,2.8831,9900000000.0,9900000000.0
407,838,1.6,6.8,2.8831,9900000000.0,9900000000.0
408,840,1.6,8.2,2.8882,9900000000.0,9900000000.0
409,842,1.6,6.1,2.8664,9900000000.0,9900000000.0
410,845,1.6,6.5,2.8664,9900000000.0,9900000000.0
411,847,1.6,7.0,2.8664,9900000000.0,9900000000.0
412,849,1.6,6.8,2.8664,9900000000.0,9900000000.0
413,851,1.6,5.6,2.8664,9900000000.0,9900000000.0
414,853,1.6,5.4,2.8664,9900000000.0,9900000000.0
415,855,1.6,6.1,2.8664,9900000000.0,9900000000.0
416,857,1.6,6.1,2.8664,9900000000.0,9900000000.0
417,859,1.6,7.5,2.8664,9900000000.0,9900000000.0
418,861,1.6,8.0,2.8489,9900000000.0,9900000000.0
419,863,1.6,6.1,2.8489,9900000000.0,9900000000.0
420,865,1.6,8.0,2.8664,9900000000.0,9900000000.0
421,867,1.6,8.4,2.8664,9900000000.0,9900000000.0
422,869,1.6,6.1,2.8664,9900000000.0,9900000000.0
423,871,1.6,6.5,2.8664,9900000000.0,9900000000.0
424,873,1.6,6.1,2.8468,9900000000.0,9900000000.0
425,875,1.6,7.5,2.8468,9900000000.0,9900000000.0
426,877,1.6,7.0,2.854,9900000000.0,9900000000.0
427,880,1.6,8.0,2.8489,9900000000.0,9900000000.0
428,882,1.6,8.4,2.8489,9900000000.0,9900000000.0
429,884,1.6,8.0,2.8322,9900000000.0,9900000000.0
430,886,1.6,7.3,2.8322,9900000000.0,9900000000.0
431,888,1.6,6.1,2.8322,9900000000.0,9900000000.0
432,890,1.6,7.5,2.8322,9900000000.0,9900000000.0
